"PermisoId","NumeroPermiso","RazonSocial","Calle","CodigoPostal","Colonia","Latitud","Longitud","Regular","Premium","Diesel","FechaAplicacion"
"2227","PL/741/EXP/ES/2015","SERVICIOS ENERGÉTICOS BRISAS S.A. DE C.V.","Blvd. Isidro López Zertuche No. 5851  Col. Brisas  Saltillo","25169","","25.48155","-100.9835","15.98","17.75","17.05",""
"2230","PL/716/EXP/ES/2015","BECKTROP OPERADORA S.A. DE C.V.","Blvd. Gustavo DÍaz Ordaz No. 15260 Col. Benton","22115","","32.65055","-115.472","16.17","17.95","",""
"2231","PL/777/EXP/ES/2015","GASOLINERIA LAZARO CHANONA BORGES S.A. DE C.V. ","Libramiento Poniente  s/n Ocozocoautla de Espinosa ","29140","","16.76469","-93.38528","15.73","17.5","16.8",""
"2234","PL/736/EXP/ES/2015","DISTRIBUIDORA DE COMBUSTIBLES LAS CAÑADAS S.A. DE C.V.","Av. Oaxaca s/n  Col. La Cooperativa  Benemérito de las Americas","29955","","16.50013","-90.65433","16.1","17.87","17.17",""
"2236","PL/822/EXP/ES/2015","Estación de Servicio Cantabria  S.A. de C.V.","Av. Par Vía Jiutepec No. 44  Colonia Atlacomulco  Jiutepec","62560","","18.88947","-99.19987","15.93","17.7","17",""
"2240","PL/403/EXP/ES/2015","Grupo Empresarial Cachanilla  S.A. de C.V.","Carretera Colonia Progreso - Santa Isabel s/n Fracc. Valle del Progreso","21326","","32.58874","-115.5797","16.17","17.95","",""
"2243","PL/828/EXP/ES/2015","GASOLINERA COLÓN S.A. DE C.V.","Av. Colón No.1870  Colonia del Fresno  Guadalajara","44900","","20.65207","-103.3658","16.52","18.4","17.24",""
"2245","PL/363/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Av. Insurgentes No. 2795 Oriente  Col. Lagos del Country  Tepic","63197","","21.47486","-104.8595","16.33","","17.43","1/7/2017 1:38:00 PM"
"2245","PL/363/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Av. Insurgentes No. 2795 Oriente  Col. Lagos del Country  Tepic","63197","","21.47486","-104.8595","","18.1","","1/7/2017 1:39:00 PM"
"2248","PL/791/EXP/ES/2015","OPERADORA LAS CRUCES S.A. DE C.V.","Libramiento Manuel Pérez Treviño No. 300  Don Antonio","26069","","28.70271","-100.5463","16.13","17.9","",""
"2251","PL/726/EXP/ES/2015","El Encanto S.A. de C.V.","Blvd. Benito Juarez No. 490  Col. El Encanto Norte","21447","","32.56519","-116.6503","16.17","17.95","17.29","1/28/2017 12:41:00 AM"
"2252","PL/382/EXP/ES/2015","Grupo Empresarial Cachanilla  S.A. de C.V.","Calzada de los Monarcas #1198 Fracc. Residencial Villa del Rey II Etapa","21354","","32.59637","-115.483","16.17","17.95","17.29",""
"2253","PL/864/EXP/ES/2015","Gasolinería Turquesa   S.A. de C.V.","Av. Canal de Castera No.72  Col. Gustavo Baz","54934","","19.67295","-99.07876","16.32","18.2","",""
"2259","PL/776/EXP/ES/2015","Díaz Gas  S.A. de C.V.","Av. Municipio Libre No. 88 y Esq. Libertad  Col. Adición Sur  Juárez","32000","","31.7203","-106.4733","15.71","17.93","",""
"2264","PL/673/EXP/ES/2015","SERVICIO PALAU  S. A. DE C. V.","Carretera Palau - Múzquiz Km. 26 S/N  Col. Centro  Múzquiz","26350","","27.88953","-101.4273","16.46","18.22","17.54",""
"2266","PL/872/EXP/ES/2015","GAELI DIESEL  S.A. DE C.V. ","Av. Juárez No. 245  Col. Miami","24115","","18.65904","-91.83187","15.65","17.42","16.72",""
"2269","PL/844/EXP/ES/2015","COMBUSTIBLES Y REPARACIONES DE CHIAPAS S.A. DE C.V.","Carretera Internacional No. 6154  Col. Plan De Ayala","29110","","16.76767","-93.1921","15.73","17.5","16.8",""
"2272","PL/631/EXP/ES/2015","Gasolinería Magnolias  S.A. de C.V.","Vialidad Principal LT1 Circuitro Fruta y Legumbres  Colonia Central de Abastos  Iztapalapa","9040","","19.37437","-99.09545","16.32","18.2","17.07",""
"2273","PL/782/EXP/ES/2015","OPERADORA DE COMBUSTIBLE  S.A. DE C.V.","Blvd. 5 de Febrero No. 2990  Esquina Jaime Bravo  Col. Benito Juárez  La Paz","23050","","24.1315","-110.2967","16","17.76","",""
"2282","PL/763/EXP/ES/2015","SERVICIO 8 DE ENERO S.A. DE C.V.","Carretera 30 Km 12 No. 2000  Fracc San Antonio  Frontera","25810","","26.99841","-101.4921","16.03","17.8","17.1",""
"2283","PL/703/EXP/ES/2015","Gasolinera el 27 S.A. de C.V.","Lauro Rendón Norte 112 Colonia Heroe de Nacozari","87030","","23.73274","-99.16292","15.64","17.41","",""
"2287","PL/826/EXP/ES/2015","Estación de Servicio Sauvage  S.A. de C.V.","Carretera Lechería Texcoco S/N  Los Héroes Tecamac Sexta Sección  Tecamac","55763","","19.61582","-99.02579","16.32","18.2","17.07",""
"2291","PL/758/EXP/ES/2015","GASOPRIM S.A. DE C.V.","Av. Tercer Anillo Periférico No. 151  Colonia Primavera","28015","","19.2684","-103.7026","16.14","17.9","17.21",""
"2292","PL/420/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V.","Libramiento Tepic-Mazatlán No. 48  Col. Rodeo de la Punta  Tepic","63117","","21.52014","-104.9266","16.33","18.1","17.43","1/7/2017 1:35:00 PM"
"2294","PL/843/EXP/ES/2015","Gasolinería Lomalinda 0194 S.A. de C.V.","Paseo de la Reforma No. 1005  Lomas de Chapultepec","11000","","19.42066","-99.21804","16.33","18.2","",""
"2298","PL/743/EXP/ES/2015","DESARROLLO INTEGRAL OCOZOCOAUTLA  S.A. DE C.V. ","Carretera Panamericana Comitán Cd. Cuauhtemoc Km. 251+100 S/N  Col. Paso Hondo  Frontera Comalapa ","30153","","15.70444","-91.99803","16.1","17.87","17.17",""
"2310","PL/694/EXP/ES/2015","Operadora Sta. Elena  S.A. de C.V.","Prolongación Guadalupe Victoria No. 79 Colonia Santo Tómas Ajusco  Tlalpan","14710","","19.2257","-99.2113","16.33","18.2","17.07",""
"2315","PL/385/EXP/ES/2015","Grupo Empresarial Cachanilla  S.A. de C.V.","Gral. Santiago Vidaurri y Calle Defensores de la Patria Fracc. Misión del Ángel","21387","","32.58577","-115.4363","16.17","17.95","17.29",""
"2316","PL/652/EXP/ES/2015","Servicio La Guitarra  S. A. de C. V.","Camino Arenero MZ 110 - A LT 10155  San José Rio Hondo  Naucalpan de Juárez","53810","","19.44123","-99.24943","16.27","18.14","",""
"2320","PL/767/EXP/ES/2015","SERVICIO DAINITIN  S.A. DE C.V.","Paseo de la Reforma No. 2105  Colonia Rancho las Varas  Saltillo","25010","","25.42712","-100.9758","15.98","17.75","",""
"2321","PL/629/EXP/ES/2015","Servicio Calatrava S.A. de C.V.","Av. Toluca No. 13 Esq. Camino Alamitra lote B Manzana 18. Colonia El Quemado  Tultepec  Estado de Mexico","54980","","19.66663","-99.13498","16.32","18.2","17.07",""
"2322","PL/375/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Av. Juárez No. 346 Oriente  Col. Centro  Tepic","63000","","32.52005","-117.0201","","","17.43","1/7/2017 1:10:00 PM"
"2322","PL/375/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Av. Juárez No. 346 Oriente  Col. Centro  Tepic","63000","","32.52005","-117.0201","16.33","","","1/7/2017 1:11:00 PM"
"2322","PL/375/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Av. Juárez No. 346 Oriente  Col. Centro  Tepic","63000","","32.52005","-117.0201","","18.1","","1/7/2017 1:13:00 PM"
"2323","PL/364/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Carretera Mexcaltitán a Tepic-Mazatlán No. 5  CP 63640  Vicente Guerrero o El Mogote  Mpio. De Rosamorada","63640","","22.00695","-105.2269","16.33","18.1","17.43","1/7/2017 1:41:00 PM"
"2327","PL/867/EXP/ES/2015","Gasolinería Rubí  S.A. de C.V.","Plutarco Elías Calles S/N  Col. Centro  Temixco","62580","","18.83838","-99.23139","15.93","17.7","",""
"2334","PL/905/EXP/ES/2015","ESTACIÓN DE SERVICIO CORCELES  S. A. DE C. V.","Calzada de los Corceles No. 300  Colinas del Sur  Delegación Álvaro Obregón","1430","","19.36607","-99.23235","16.33","18.2","17.07",""
